,Unnamed: 0,Unnamed: 0.1,First_Name,Last_Name,player_id,Position,Points,Free_Throw_Percent,Two_Pt_Percent,Three_Pt_Percent,Assists,Rebounds,Offensive_Rebounds,Steals,Personal_Fouls,Flagrant_Fouls,Tech_Fouls,Turnovers,Team,Home_Away,win,Team_points,Min_played,Crowd,Stadium_Cap,game_id,game_date,Player
0,0,0,LeBron,James,0afbe608-940a-4d5d-a1f7-468718c67d91,F,19,50.0,81.818,0.0,14,11,3,0,3,0,0,4,Cavaliers,1,1,117,32:23,20562,20562,0da78f13-73ac-4465-8e31-ecc3029a5dc6,2016-10-25T23:30:00+00:00,LeBron James
8,8,8,Kyrie,Irving,dd146010-902b-4ad7-b98c-650d0363a2f0,G,29,100.0,53.333,57.1,4,2,1,2,1,0,0,0,Cavaliers,1,1,117,29:48,20562,20562,0da78f13-73ac-4465-8e31-ecc3029a5dc6,2016-10-25T23:30:00+00:00,Kyrie Irving
24,24,24,Derrick,Rose,48341095-ae5a-4d61-bcc8-1b0ceed870b2,G,17,100.0,40.0,50.0,1,3,2,0,1,0,0,4,Knicks,0,0,88,29:35,20562,20562,0da78f13-73ac-4465-8e31-ecc3029a5dc6,2016-10-25T23:30:00+00:00,Derrick Rose
29,29,29,Kristaps,Porzingis,3c5901ef-af1d-441d-aeed-8e0a93cead49,F-C,16,50.0,25.0,60.0,0,7,4,1,5,0,0,2,Knicks,0,0,88,32:48,20562,20562,0da78f13-73ac-4465-8e31-ecc3029a5dc6,2016-10-25T23:30:00+00:00,Kristaps Porzingis
34,34,34,Damian,Lillard,5382cf43-3a79-4a5a-a7fd-153906fe65dd,G,39,100.0,64.286,66.7,6,9,1,0,3,0,0,4,Trail Blazers,1,1,113,35:25,19446,19980,5166289e-69f2-4761-854e-4c72a43d8d9c,2016-10-26T02:00:00+00:00,Damian Lillard
53,53,53,Rudy,Gobert,37fbc3a5-0d10-4e22-803b-baa2ea0cdb12,C,12,100.0,57.143,0.0,2,14,4,0,3,0,0,3,Jazz,0,0,104,40:57,19446,19980,5166289e-69f2-4761-854e-4c72a43d8d9c,2016-10-26T02:00:00+00:00,Rudy Gobert
86,86,86,Kawhi,Leonard,c12fb587-fc86-471c-8a84-19caf31325ce,F,35,100.0,55.6,0.0,3,5,3,5,1,0,0,2,Spurs,0,1,129,32:03,19596,19596,50e4c425-e26c-4740-8cd7-897919315b23,2016-10-26T02:30:00+00:00,Kawhi Leonard
91,91,91,Paul,George,db09f372-9a17-4889-add7-bf8a75ab6da6,F,25,87.5,33.333,80.0,6,8,0,0,2,0,0,2,Pacers,1,1,130,42:46,17923,18165,68c96738-a127-4d74-a5eb-de5ae2af3abe,2016-10-26T23:00:00+00:00,Paul George
129,129,129,Nikola,Vucevic,7366b2b7-5959-4dd9-9204-760e861b3119,C,17,75.0,50.0,0.0,3,14,5,2,3,0,0,1,Magic,1,0,96,35:49,19298,18846,d6bc803b-1bcd-463c-bb06-da91ebac4b0a,2016-10-26T23:00:00+00:00,Nikola Vucevic
137,137,137,Hassan,Whiteside,3b8024e6-5872-4ceb-b675-415715527776,C,18,0.0,56.25,0.0,1,14,4,0,3,0,1,1,Heat,0,1,108,30:59,19298,18846,d6bc803b-1bcd-463c-bb06-da91ebac4b0a,2016-10-26T23:00:00+00:00,Hassan Whiteside
