,Unnamed: 0,First_Name,Last_Name,player_id,Position,Points,Free_Throw_Percent,Two_Pt_Percent,Three_Pt_Percent,Assists,Rebounds,Offensive_Rebounds,Steals,Personal_Fouls,Flagrant_Fouls,Tech_Fouls,Turnovers,Team,Home_Away,win,Team_points,Min_played,Crowd,Stadium_Cap,game_id,game_date,Player
12,12,Nikola,Jokic,f2625432-3903-4f90-9b0b-2e4f63856bb0,C,29,100.0,50.0,57.1,3,10,1,2,2,0,0,4,Nuggets,1,1,135,42:10,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00,Nikola Jokic
21,21,Tony,Bradley,6130d33e-5725-4f5d-8f81-76ecd691a5b2,C-F,0,0.0,0.0,0.0,0,9,4,0,1,0,0,2,Jazz,0,0,125,10:50,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00,Tony Bradley
26,26,Rudy,Gobert,37fbc3a5-0d10-4e22-803b-baa2ea0cdb12,C,17,16.7,72.7,0.0,1,7,4,2,5,0,0,1,Jazz,0,0,125,42:10,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00,Rudy Gobert
38,38,Chris,Boucher,f01d5d8d-f949-437a-a23f-3835c0939ced,F-C,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,Raptors,1,1,134,3:02,Covid,8000,221c06a2-6443-400e-a08c-a35ce6091054,2020-08-17T20:00:00+00:00,Chris Boucher
50,50,Jarrett,Allen,a3fff5c7-19b6-4dac-bd75-11b944bea505,C,15,75.0,60.0,0.0,1,12,4,1,3,0,0,4,Nets,0,0,110,33:56,Covid,8000,221c06a2-6443-400e-a08c-a35ce6091054,2020-08-17T20:00:00+00:00,Jarrett Allen
62,62,Jayson,Tatum,98136da3-452f-49dc-a794-1ee9c76443f2,F,32,90.9,50.0,40.0,1,13,3,0,2,0,0,1,Celtics,1,1,109,41:27,Covid,1200,69ebfc6e-d011-4475-ba82-79cb991ebcc8,2020-08-17T22:30:00+00:00,Jayson Tatum
63,63,Kemba,Walker,a35ee8ed-f1db-4f7e-bb17-f823e8ee0b38,G,19,83.3,58.3,0.0,5,1,0,1,2,0,0,1,Celtics,1,1,109,34:42,Covid,1200,69ebfc6e-d011-4475-ba82-79cb991ebcc8,2020-08-17T22:30:00+00:00,Kemba Walker
72,72,Enes,Kanter,5fb038ef-a3bf-4f52-afce-4f5bd074bb88,C,0,0.0,0.0,0.0,3,4,3,0,1,0,0,1,Celtics,1,1,109,8:13,Covid,1200,69ebfc6e-d011-4475-ba82-79cb991ebcc8,2020-08-17T22:30:00+00:00,Enes Kanter
82,82,Joel,Embiid,bf9ad0fd-0cb8-4360-8970-5f1b5cf3fa8d,C,26,75.0,63.6,25.0,1,16,5,2,5,0,0,5,76ers,0,0,101,37:29,Covid,1200,69ebfc6e-d011-4475-ba82-79cb991ebcc8,2020-08-17T22:30:00+00:00,Joel Embiid
91,91,Ben,Simmons,318debd7-dab6-4d4e-8849-03c4c701a7c8,G-F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,76ers,0,0,101,00:00,Covid,1200,69ebfc6e-d011-4475-ba82-79cb991ebcc8,2020-08-17T22:30:00+00:00,Ben Simmons
96,96,Ivica,Zubac,2da18268-82d4-4b40-a296-7ceddd435d0b,C,10,0.0,55.6,0.0,1,10,5,0,1,0,0,0,Clippers,1,1,118,22:20,Covid,8000,e1c383ae-8728-4a8d-9d56-7961ca3298d9,2020-08-18T01:00:00+00:00,Ivica Zubac
102,102,Montrezl,Harrell,869c305c-3e1f-49e5-a59b-5f1e03d198f8,F-C,6,50.0,40.0,0.0,0,2,0,0,0,0,0,0,Clippers,1,1,118,14:59,Covid,8000,e1c383ae-8728-4a8d-9d56-7961ca3298d9,2020-08-18T01:00:00+00:00,Montrezl Harrell
103,103,Paul,George,db09f372-9a17-4889-add7-bf8a75ab6da6,G,27,100.0,54.5,36.4,3,2,0,2,4,0,1,3,Clippers,1,1,118,37:28,Covid,8000,e1c383ae-8728-4a8d-9d56-7961ca3298d9,2020-08-18T01:00:00+00:00,Paul George
104,104,Kawhi,Leonard,c12fb587-fc86-471c-8a84-19caf31325ce,F,29,100.0,71.4,14.3,6,12,2,3,3,0,0,3,Clippers,1,1,118,38:16,Covid,8000,e1c383ae-8728-4a8d-9d56-7961ca3298d9,2020-08-18T01:00:00+00:00,Kawhi Leonard
109,109,Luka,Doncic,d2ee92e9-3e72-45eb-b156-2dc5adc1e6f7,G,42,93.3,73.3,33.3,9,7,0,3,4,0,0,11,Mavericks,0,0,110,38:21,Covid,8000,e1c383ae-8728-4a8d-9d56-7961ca3298d9,2020-08-18T01:00:00+00:00,Luka Doncic
122,122,Kristaps,Porzingis,3c5901ef-af1d-441d-aeed-8e0a93cead49,F,14,87.5,40.0,25.0,1,6,0,0,2,0,2,0,Mavericks,0,0,110,19:49,Covid,8000,e1c383ae-8728-4a8d-9d56-7961ca3298d9,2020-08-18T01:00:00+00:00,Kristaps Porzingis
131,131,Giannis,Antetokounmpo,6c60282d-165a-4cba-8e5a-4f2d9d4c5905,F,31,44.4,50.0,42.9,7,17,4,1,5,1,0,5,Bucks,1,0,110,34:28,Covid,1200,28a3252b-c238-4ff6-8fbd-932d33899f98,2020-08-18T17:30:00+00:00,Giannis Antetokounmpo
134,134,Khris,Middleton,4c362eee-6474-40ea-b1b4-d8f917f95175,F,14,66.7,33.3,33.3,4,6,0,1,4,0,0,4,Bucks,1,0,110,31:16,Covid,1200,28a3252b-c238-4ff6-8fbd-932d33899f98,2020-08-18T17:30:00+00:00,Khris Middleton
143,143,Nikola,Vucevic,7366b2b7-5959-4dd9-9204-760e861b3119,C,35,0.0,62.5,62.5,4,14,3,1,3,0,0,5,Magic,0,1,122,36:30,Covid,1200,28a3252b-c238-4ff6-8fbd-932d33899f98,2020-08-18T17:30:00+00:00,Nikola Vucevic
169,169,Domantas,Sabonis,22038780-8c50-4211-a99e-656d983e5207,F-C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Pacers,1,0,101,00:00,Covid,8000,52d0a362-76a4-40f8-a324-6ec097bf1609,2020-08-18T20:00:00+00:00,Domantas Sabonis
182,182,Jimmy,Butler,0e163d44-67a7-4107-9421-5333600166bb,F,28,83.3,46.2,100.0,4,3,0,4,3,0,0,4,Heat,0,1,113,37:00,Covid,8000,52d0a362-76a4-40f8-a324-6ec097bf1609,2020-08-18T20:00:00+00:00,Jimmy Butler
183,183,Bam,Adebayo,11c303dc-540c-4090-8e0c-76c2fb2c125a,C,17,75.0,50.0,0.0,6,10,4,0,2,0,0,0,Heat,0,1,113,34:49,Covid,8000,52d0a362-76a4-40f8-a324-6ec097bf1609,2020-08-18T20:00:00+00:00,Bam Adebayo
194,194,Russell,Westbrook,74a45eed-f2b0-4886-ae71-d04cf7d59528,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rockets,1,1,123,00:00,Covid,1200,bc7dd349-0fed-4e0b-9cf0-12bb10df07c7,2020-08-18T22:30:00+00:00,Russell Westbrook
196,196,James,Harden,a52b2c84-9c3d-4d6e-8a3b-10e75d11c2bc,G,37,87.5,66.7,46.2,3,11,2,0,4,0,0,3,Rockets,1,1,123,34:13,Covid,1200,bc7dd349-0fed-4e0b-9cf0-12bb10df07c7,2020-08-18T22:30:00+00:00,James Harden
213,213,Nerlens,Noel,2012f4fd-98e0-4080-98a7-0cfb9de87067,C-F,2,0.0,33.3,0.0,0,1,1,0,4,0,0,0,Thunder,0,0,108,7:49,Covid,1200,bc7dd349-0fed-4e0b-9cf0-12bb10df07c7,2020-08-18T22:30:00+00:00,Nerlens Noel
214,214,Steven,Adams,a208e22a-6b63-45f9-b7c6-bf913a68f3df,C,17,50.0,58.3,0.0,2,12,4,0,2,0,0,1,Thunder,0,0,108,27:36,Covid,1200,bc7dd349-0fed-4e0b-9cf0-12bb10df07c7,2020-08-18T22:30:00+00:00,Steven Adams
215,215,Chris,Paul,942c53e3-7268-44e3-b0a9-fdff55a72c03,G,20,75.0,66.7,37.5,9,10,0,2,4,0,1,4,Thunder,0,0,108,37:13,Covid,1200,bc7dd349-0fed-4e0b-9cf0-12bb10df07c7,2020-08-18T22:30:00+00:00,Chris Paul
229,229,Anthony,Davis,ea8826b8-1f76-4eab-b61e-ffcb176880f3,F,28,70.6,42.1,0.0,1,11,6,2,1,0,0,1,Lakers,1,0,93,39:11,Covid,8000,7893b89c-1262-4be1-b5ba-d9e9b340b0b5,2020-08-19T01:00:00+00:00,Anthony Davis
237,237,LeBron,James,0afbe608-940a-4d5d-a1f7-468718c67d91,F,23,57.1,53.3,20.0,16,17,2,1,1,0,0,4,Lakers,1,0,93,41:03,Covid,8000,7893b89c-1262-4be1-b5ba-d9e9b340b0b5,2020-08-19T01:00:00+00:00,LeBron James
242,242,Damian,Lillard,5382cf43-3a79-4a5a-a7fd-153906fe65dd,G,34,100.0,37.5,46.2,5,5,1,0,1,0,0,3,Trail Blazers,0,1,100,42:42,Covid,8000,7893b89c-1262-4be1-b5ba-d9e9b340b0b5,2020-08-19T01:00:00+00:00,Damian Lillard
247,247,Hassan,Whiteside,3b8024e6-5872-4ceb-b675-415715527776,C,7,25.0,75.0,0.0,0,8,1,0,5,0,0,2,Trail Blazers,0,1,100,25:48,Covid,8000,7893b89c-1262-4be1-b5ba-d9e9b340b0b5,2020-08-19T01:00:00+00:00,Hassan Whiteside
