,First_Name,Last_Name,player_name,player_id,Points,Free_Throw_Percent,Two_Pt_Percent,Three_Pt_Percent,Assists,Rebounds,Offensive_Rebounds,Steals,Personal_Fouls,Flagrant_Fouls,Tech_Fouls,Turnovers,Home_Away,win,Min_played,total_sec_played
0,Camille,Little,Camille Little,9951fcfb-8d31-44e5-ba85-c41ed724763d,9,0.0,0.375,20.0,1,3,2,0,2,0,0,2,1,0,29:00:00,1740.0
1,Jasmine,Thomas,Jasmine Thomas,0ac8d024-ec11-4809-83f4-6277c1252617,6,100.0,0.25,0.0,4,5,1,0,3,0,0,0,1,0,30:00:00,1800.0
2,Kayla,Pedersen,Kayla Pedersen,adfc445c-06c0-444a-8856-32cf13a89ea2,0,0.0,0.0,0.0,0,3,1,0,0,0,0,0,1,0,10:00,600.0
4,Elizabeth,Williams,Elizabeth Williams,c8672dba-0deb-4cf1-8304-82365865edaa,5,75.0,0.2,0.0,1,5,2,0,0,0,0,0,1,0,10:00,600.0
5,Kelsey,Bone,Kelsey Bone,93a6bb0d-9500-436e-89b4-33bc8ca6909c,14,0.0,0.583,0.0,2,6,1,2,5,0,0,3,1,0,29:00:00,1740.0
6,Shekinna,Stricklen,Shekinna Stricklen,fec2625c-b15d-4dcf-b476-78456c3572b6,0,0.0,0.0,0.0,0,2,0,0,0,0,0,1,1,0,9:00,540.0
8,Alex,Bentley,Alex Bentley,208ce658-9579-408a-92b5-9c69a950f1be,17,100.0,0.14300000000000002,80.0,2,2,0,4,1,0,0,1,1,0,32:00:00,1920.0
9,Kelly,Faris,Kelly Faris,cb9c30c7-a8d6-4377-bfb6-065425e07322,0,0.0,0.0,0.0,1,1,1,0,1,0,0,0,1,0,5:00,300.0
11,Chelsea,Gray,Chelsea Gray,ca6b54e3-612d-4523-9582-b88e675f58de,4,0.0,0.5,0.0,1,2,1,0,2,0,0,1,1,0,9:00,540.0
12,Alyssa,Thomas,Alyssa Thomas,87a32879-a19b-4603-86ce-1c8b0e4484ad,13,83.3,0.5,0.0,3,7,3,0,3,0,0,0,1,0,32:00:00,1920.0
13,Kara,Lawson,Kara Lawson,7799d3a6-0212-4837-9af9-ec891be384e8,10,100.0,0.4,20.0,1,4,2,0,1,0,0,0,0,1,28:00:00,1680.0
14,Stefanie,Dolson,Stefanie Dolson,776e2238-8340-4425-ab90-ba69e1bc7441,18,100.0,0.583,0.0,0,12,6,0,4,0,0,1,0,1,31:00:00,1860.0
15,Armintie,Herrington,Armintie Herrington,2eab8598-4c22-432a-9da0-2fe6679eb831,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,1,5:00,300.0
16,Kayla,Thornton,Kayla Thornton,7a46f116-94ed-4d89-b585-fa41cf41862c,6,0.0,0.75,0.0,1,0,0,0,3,0,0,2,0,1,11:00,660.0
18,Natasha,Cloud,Natasha Cloud,f2c36797-b5c5-47a4-b073-43637c9794ef,3,50.0,0.5,0.0,3,4,0,0,2,0,0,0,0,1,16:00,960.0
19,Ally,Malott,Ally Malott,cb55c1f8-70f9-4b74-bdc7-db7c356bf9d2,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,4:00,240.0
20,Tayler,Hill,Tayler Hill,55c633f8-a460-43f9-b16d-9157bb1f1abc,6,50.0,0.33299999999999996,25.0,0,2,1,0,1,0,0,0,0,1,15:00,900.0
22,Ivory,Latta,Ivory Latta,e3e0ad34-ab9b-492b-acc2-32cdd6e4e128,15,100.0,0.0,33.3,5,4,1,0,3,0,0,3,0,1,31:00:00,1860.0
23,Tierra,Ruffin-Pratt,Tierra Ruffin-Pratt,5035df5c-a727-478f-b7c9-41bd806d4d5c,7,100.0,0.2,50.0,2,6,3,1,1,0,0,1,0,1,23:00,1380.0
24,Emma,Meesseman,Emma Meesseman,7ae3b3fc-2bf3-4600-abd6-c5511f140246,8,0.0,0.4,0.0,2,7,2,1,3,0,0,2,0,1,31:00:00,1860.0
25,Kiah,Stokes,Kiah Stokes,d3e817a8-9e72-44c2-a422-9d44a0b214d0,2,0.0,0.5,0.0,0,3,0,0,1,0,0,0,1,1,17:00,1020.0
26,Candice,Wiggins,Candice Wiggins,087c718a-2abc-473a-96be-981061c318a0,0,0.0,0.0,0.0,0,2,0,0,0,0,0,1,1,1,11:00,660.0
27,Brittany,Boyd,Brittany Boyd,27200429-fc99-425b-9e2d-3f181f802181,14,100.0,0.8,0.0,3,4,1,4,4,0,0,3,1,1,19:00,1140.0
28,Swin,Cash,Swin Cash,2439960b-a301-4bb4-b947-1906f149ff21,15,100.0,0.833,50.0,0,2,0,2,1,0,0,3,1,1,24:00:00,1440.0
29,Tanisha,Wright,Tanisha Wright,c8f2398d-ee12-4935-b481-1a0b3a955a9d,14,71.4,0.5,50.0,5,3,1,0,4,0,0,0,1,1,32:00:00,1920.0
30,Rebecca,Allen,Rebecca Allen,9848c81d-efc7-4927-bc18-98fd0e50c761,6,0.0,0.75,0.0,0,3,1,3,0,0,0,2,1,1,19:00,1140.0
31,Tina,Charles,Tina Charles,7797aa88-28c4-4a34-bb63-1af7f8d80ec0,17,62.5,0.5,0.0,3,12,0,1,1,0,0,3,1,1,30:00:00,1800.0
32,Essence,Carson,Essence Carson,3e053532-93c1-4ac4-90b2-31b2a64cabbe,5,100.0,0.5,0.0,3,0,0,0,5,0,0,2,1,1,16:00,960.0
33,Carolyn,Swords,Carolyn Swords,91369e98-52c7-4c2d-8489-fcc626aee7d1,6,100.0,0.4,0.0,1,2,1,2,2,0,0,0,1,1,15:00,900.0
36,Sugar,Rodgers,Sugar Rodgers,07e0c644-8280-4e74-8546-0c9343f824e8,3,0.0,0.0,25.0,1,1,0,1,2,0,0,1,1,1,14:00,840.0
38,Matee,Ajavon,Matee Ajavon,f2993f12-20e9-4b80-9019-da9c8660c9ee,0,0.0,0.0,0.0,1,0,0,1,0,0,0,2,0,0,2:00,120.0
39,Shoni,Schimmel,Shoni Schimmel,e8487277-d4a8-48c3-82fb-ce03d6b4b5d4,10,0.0,0.667,33.3,4,8,1,1,3,0,0,3,0,0,24:00:00,1440.0
40,Erica,Wheeler,Erica Wheeler,28361fd5-c935-4025-a709-2c488f53ed8c,3,50.0,0.33299999999999996,0.0,3,3,2,0,1,0,0,2,0,0,16:00,960.0
41,Nadia,Colhado,Nadia Colhado,e6ba61fb-1fc0-4ed5-8094-37f0eb5243a0,2,0.0,0.5,0.0,0,0,0,0,2,0,0,0,0,0,11:00,660.0
43,Aneika,Henry,Aneika Henry,2de359cb-081f-4275-9b91-fef22be654fd,2,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,4:00,240.0
44,Erika,de Souza,Erika de Souza,e6f56dea-6650-415f-b70d-37a427c6fe83,5,100.0,0.4,0.0,1,4,1,0,5,0,0,3,0,0,27:00:00,1620.0
45,Roneeka,Hodges,Roneeka Hodges,b992ec57-bdee-4e7c-a696-59f92b05f520,3,0.0,0.0,25.0,1,6,2,0,0,0,0,1,0,0,19:00,1140.0
46,Sancho,Lyttle,Sancho Lyttle,fb843667-2e36-428f-a555-bcea00dbb793,4,66.7,0.16699999999999998,0.0,1,3,0,1,4,0,0,0,0,0,29:00:00,1740.0
47,Angel,McCoughtry,Angel McCoughtry,f6424ed9-e483-4de8-b577-a4c494adc002,27,100.0,0.41200000000000003,50.0,3,8,4,3,4,0,1,4,0,0,36:00:00,2160.0
48,Tiffany,Hayes,Tiffany Hayes,f24ac568-77f4-4344-84a7-7fde145dda84,17,100.0,0.2,37.5,1,2,2,2,3,0,0,3,0,0,28:00:00,1680.0
49,Devereaux,Peters,Devereaux Peters,b0dc3c9b-b302-4fc9-bf0f-53c4e801727f,2,0.0,0.5,0.0,2,9,2,0,2,0,0,3,1,1,23:00,1380.0
50,Rebekkah,Brunson,Rebekkah Brunson,d14c93b3-2d44-4dd2-b41c-ad44519d87b1,14,66.7,0.667,0.0,2,18,7,1,1,0,0,2,1,1,36:00:00,2160.0
52,Maya,Moore,Maya Moore,43f98360-7930-4fe5-b49a-1c9fd3b0c5c7,23,66.7,0.375,55.6,2,3,0,1,5,0,0,1,1,1,25:00:00,1500.0
53,Lindsay,Whalen,Lindsay Whalen,3f53a238-b4df-4861-b260-73fc309d6e94,26,100.0,0.6920000000000001,0.0,6,4,0,0,1,0,0,2,1,1,31:00:00,1860.0
54,Seimone,Augustus,Seimone Augustus,65437be0-ee65-4ef1-8629-9bb9ba019747,16,100.0,0.318,0.0,3,5,1,1,1,0,0,4,1,1,33:00:00,1980.0
55,Damiris,Dantas,Damiris Dantas,e040354c-4d44-405c-a7ac-d4d2cf9062e8,0,0.0,0.0,0.0,2,4,0,0,4,0,0,3,1,1,19:00,1140.0
57,Jennifer,O'Neill,Jennifer O'Neill,3490ff6c-485b-4b72-808d-c90b46cc10a1,2,100.0,0.0,0.0,1,0,0,0,1,0,0,0,1,1,10:00,600.0
60,Tricia,Liston,Tricia Liston,b3ae3ad7-7d18-45f2-8288-37dd83cdd74f,0,0.0,0.0,0.0,0,2,0,0,0,0,0,1,1,1,17:00,1020.0
61,Vicki,Baugh,Vicki Baugh,9278c6ef-eb2c-4551-9b18-9f4af0b84372,2,0.0,1.0,0.0,0,1,0,0,1,0,0,0,0,0,5:00,300.0
62,Riquna,Williams,Riquna Williams,8bc4287f-be0e-4c1e-af74-37f0dd2be275,9,100.0,0.33299999999999996,20.0,1,3,1,1,2,0,0,0,0,0,17:00,1020.0
63,Courtney,Paris,Courtney Paris,b996b562-f689-4540-818d-16ca3e549f68,4,0.0,0.667,0.0,3,10,3,0,4,0,0,1,0,0,29:00:00,1740.0
65,Amanda,Zahui B.,Amanda Zahui B.,075888e0-4efc-4d52-8ea0-1943a87e8bfb,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,4:00,240.0
66,Theresa,Plaisance,Theresa Plaisance,462f199b-4d49-40fd-acfd-88d06a77da50,0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,4:00,240.0
67,Plenette,Pierson,Plenette Pierson,e7af74dd-7ef4-435b-a3b9-97d23fb5cd91,18,0.0,0.462,50.0,2,6,1,1,1,0,0,0,0,0,35:00:00,2100.0
68,Karima,Christmas,Karima Christmas,22d685d3-a4ec-4a64-a092-d48e2ea3274c,5,100.0,0.25,0.0,0,2,1,0,1,0,0,1,0,0,21:00,1260.0
69,Skylar,Diggins,Skylar Diggins,7c9b7ef1-edd2-4f69-a627-f321d662365d,15,100.0,0.35700000000000004,33.3,4,1,1,2,3,0,0,1,0,0,30:00:00,1800.0
70,Jordan,Hooper,Jordan Hooper,fba8045d-57d6-4428-92c7-8ed6c19b0f0a,3,0.0,0.0,50.0,0,1,1,0,2,0,0,0,0,0,13:00,780.0
71,Brianna,Kiesel,Brianna Kiesel,1600531a-a1e2-4499-8e6f-8e8ff0b33640,2,100.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,4:00,240.0
72,Odyssey,Sims,Odyssey Sims,50eab91c-a616-4b89-832e-e17ac12708a8,17,100.0,0.4,25.0,7,7,1,2,2,0,0,3,0,0,33:00:00,1980.0
73,Victoria,Macaulay,Victoria Macaulay,947b750a-c105-4933-ae88-3f69b1c92b80,2,0.0,0.5,0.0,0,0,0,1,2,0,0,0,1,1,3:00,180.0
74,Jessica,Breland,Jessica Breland,897d2576-c2c5-4f86-83d4-a808ace96065,6,0.0,0.429,0.0,4,13,9,0,0,0,0,0,1,1,19:00,1140.0
75,Betnijah,Laney,Betnijah Laney,3d0a61e8-8f8f-48a8-bfa3-d9c3171c819f,4,0.0,1.0,0.0,0,0,0,0,1,0,0,0,1,1,3:00,180.0
76,Sasha,Goodlett,Sasha Goodlett,5cb71e08-a9b3-4254-91da-9f78b859738c,4,0.0,1.0,0.0,0,1,0,0,1,0,0,0,1,1,17:00,1020.0
77,Clarissa,dos Santos,Clarissa dos Santos,3381b955-8d3d-4aa3-acfe-8913b177b856,2,0.0,1.0,0.0,1,3,1,0,0,0,0,0,1,1,3:00,180.0
78,Cappie,Pondexter,Cappie Pondexter,8641b2d8-daa9-4c6f-803d-7d9fb2eef35a,8,0.0,0.364,0.0,4,3,0,2,1,0,0,1,1,1,24:00:00,1440.0
79,Jamierra,Faulkner,Jamierra Faulkner,cd0854e7-1f8b-4a3a-b88b-0c5468cd70f7,4,100.0,0.25,0.0,1,2,0,0,2,0,0,2,1,1,11:00,660.0
80,Elena,Delle Donne,Elena Delle Donne,8dc72518-7da4-4803-b9c6-bec3a6cf6fd6,31,90.0,0.647,0.0,1,8,3,3,3,0,0,1,1,1,33:00:00,1980.0
81,Courtney,Vandersloot,Courtney Vandersloot,b61f397f-0cb5-49db-9e88-f91991757203,13,100.0,0.4,50.0,4,5,0,2,3,0,0,1,1,1,24:00:00,1440.0
82,Allie,Quigley,Allie Quigley,2f7fa524-fb0f-4150-87d7-b0b9b6e322bd,4,0.0,0.25,0.0,5,1,1,1,4,0,0,2,1,1,18:00,1080.0
83,Tamera,Young,Tamera Young,1b5f5051-84f1-409c-8e0f-fe6ed00ff126,9,83.3,0.28600000000000003,0.0,2,4,1,4,3,0,0,2,1,1,28:00:00,1680.0
84,Cheyenne,Parker,Cheyenne Parker,4a97e708-71e5-4d58-b1e8-883adf027925,8,0.0,0.8,0.0,0,4,0,1,2,0,0,2,1,1,11:00,660.0
85,Jeanette,Pohlen,Jeanette Pohlen,a7382615-4650-4042-8a58-d798911e0f26,0,0.0,0.0,0.0,0,0,0,1,1,0,0,3,0,0,16:00,960.0
87,Briana,Butler,Briana Butler,5b0b8419-1313-4c93-bf44-6d906b77f5b1,2,0.0,0.5,0.0,0,0,0,1,0,0,0,0,0,0,13:00,780.0
88,Briann,January,Briann January,9a3004e2-f946-4df6-b306-4213cc0879a0,9,0.0,0.0,75.0,3,2,1,1,2,0,0,2,0,0,26:00:00,1560.0
