Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,James Harden\hardeja01,HOU,19,19,36.3,9.4,18.7,.500,3.5,10.1,.351,9.0,10.4,.868,0.9,5.6,6.6,8.1,1.9,0.9,4.2,3.4,31.3,26.4
2,Damian Lillard\lillada01,POR,12,12,39.7,9.9,20.9,.474,4.8,11.2,.425,8.6,9.4,.912,0.3,3.7,4.0,7.8,1.1,0.2,3.3,1.7,33.2,26.2
3,Luka Dončić\doncilu01,DAL,13,13,35.6,10.2,20.9,.489,2.4,7.2,.330,7.6,10.4,.733,1.0,9.0,10.0,9.2,0.8,0.5,4.9,2.8,30.5,23.8
4,Kawhi Leonard\leonaka01,LAC,19,19,37.7,9.8,20.3,.486,2.1,5.6,.377,6.6,7.7,.863,1.4,6.5,7.9,5.2,2.2,0.7,2.2,2.3,28.4,23.8
5,LeBron James\jamesle01,LAL,28,28,35.1,9.7,18.2,.532,2.1,5.8,.362,4.8,6.7,.707,1.3,8.7,9.9,8.3,1.1,0.9,3.8,1.9,26.2,23.0
6,Devin Booker\bookede01,PHO,8,8,33.8,10.4,20.6,.503,1.9,6.0,.313,7.9,8.4,.940,0.3,4.6,4.9,6.0,0.5,0.3,2.5,3.1,30.5,22.7
7,Anthony Davis\davisan02,LAL,28,28,36.1,8.9,16.5,.538,1.1,3.0,.357,7.4,8.8,.838,2.6,6.8,9.4,3.6,1.3,1.4,2.6,2.6,26.2,22.6
8,Giannis Antetokounmpo\antetgi01,MIL,15,15,28.8,10.1,17.3,.585,1.3,4.1,.306,5.6,9.3,.600,2.5,10.7,13.1,5.1,0.5,1.1,3.4,3.5,27.1,22.5
9,Kristaps Porziņģis\porzikr01,DAL,9,9,34.6,8.9,18.2,.488,2.8,6.6,.424,7.7,8.7,.885,1.6,7.7,9.2,1.7,0.6,1.3,1.2,4.1,28.2,21.8
10,Donovan Mitchell\mitchdo01,UTA,13,13,35.6,9.6,20.3,.473,3.8,8.4,.459,6.5,6.9,.933,1.2,3.7,4.8,4.9,0.8,0.3,3.5,2.2,29.5,21.0
11,T.J. Warren\warretj01,IND,10,10,37.5,10.6,19.6,.541,2.9,6.1,.475,2.5,2.7,.926,1.2,5.1,6.3,2.4,1.7,0.8,1.8,3.3,26.6,20.2
12,Jimmy Butler\butleji01,MIA,25,25,36.6,6.4,13.2,.486,0.6,1.8,.333,7.8,9.0,.858,2.2,4.4,6.5,5.8,2.1,0.7,2.7,1.8,21.2,20.1
13,De'Aaron Fox\foxde01,SAC,6,6,34.7,10.3,20.5,.504,1.2,5.3,.219,4.3,6.0,.722,0.8,1.7,2.5,7.3,1.7,0.3,2.8,2.7,26.2,19.5
14,Jamal Murray\murraja01,DEN,23,23,37.1,9.1,18.1,.502,3.0,6.8,.439,3.3,3.7,.872,1.0,3.8,4.8,6.3,0.9,0.3,2.4,2.0,24.4,19.3
15,DeMar DeRozan\derozde01,SAS,7,7,32.2,7.7,13.3,.581,0.1,0.7,.200,6.1,7.1,.860,0.7,3.7,4.4,5.7,1.1,0.9,2.4,2.3,21.7,19.1
16,Nikola Jokić\jokicni01,DEN,27,27,34.4,8.6,16.5,.519,1.9,4.7,.402,3.5,4.1,.839,1.8,6.9,8.7,6.5,1.0,0.6,3.2,3.3,22.5,18.9
17,Jayson Tatum\tatumja01,BOS,24,24,38.0,8.3,18.6,.443,2.9,7.3,.394,5.4,6.5,.822,1.2,7.6,8.8,4.6,1.1,1.0,3.0,2.3,24.8,18.9
18,Nikola Vučević\vucevni01,ORL,13,13,32.3,9.3,18.0,.517,2.6,6.5,.405,2.1,2.5,.844,1.5,8.7,10.2,3.1,0.9,0.2,1.8,2.1,23.3,18.5
19,Thomas Bryant\bryanth01,WAS,8,8,30.8,7.4,13.9,.532,1.9,4.6,.405,2.0,2.6,.762,2.9,6.0,8.9,1.5,1.4,2.0,0.6,2.3,18.6,17.7
20,Caris LeVert\leverca01,BRK,10,10,33.8,8.6,19.6,.439,1.7,5.2,.327,4.2,6.1,.689,1.7,3.7,5.4,7.8,1.4,0.4,3.3,1.6,23.1,17.6
21,Joel Embiid\embiijo01,PHI,11,11,29.3,7.6,15.8,.483,0.5,2.5,.185,8.0,10.2,.786,2.7,8.4,11.1,1.8,1.2,1.1,3.5,3.7,23.7,17.4
22,Jaren Jackson\jacksja02,MEM,3,3,36.7,8.3,17.3,.481,3.3,9.3,.357,5.3,6.7,.800,0.7,2.0,2.7,0.7,1.3,1.7,1.7,4.3,25.3,16.6
23,Jarrett Allen\allenja01,BRK,10,10,33.7,4.9,7.6,.645,0.0,0.1,.000,3.7,4.9,.755,3.8,8.7,12.5,3.4,0.5,1.4,1.6,2.5,13.5,16.2
24,Malcolm Brogdon\brogdma01,IND,10,10,35.4,6.3,15.0,.420,2.3,5.9,.390,4.6,5.2,.885,0.6,4.7,5.3,7.8,0.6,0.2,2.6,2.0,19.5,15.9
25,Chris Paul\paulch01,OKC,14,14,33.3,6.8,13.9,.490,1.9,4.9,.382,3.6,3.9,.927,0.6,5.9,6.5,5.9,1.7,0.4,3.4,2.6,19.1,15.9
26,Fred VanVleet\vanvlfr01,TOR,17,17,37.6,6.4,15.4,.412,3.4,8.6,.397,2.9,3.4,.860,0.3,3.9,4.2,6.8,1.6,0.6,1.9,2.4,19.0,15.8
27,Bam Adebayo\adebaba01,MIA,26,26,33.5,6.0,11.2,.536,0.0,0.1,.500,4.5,6.0,.761,2.2,7.3,9.5,4.6,0.9,0.9,2.5,2.9,16.6,15.4
28,Bogdan Bogdanović\bogdabo01,SAC,8,8,32.0,7.5,15.9,.472,3.4,7.6,.443,1.3,1.4,.909,1.1,3.4,4.5,4.8,1.3,0.1,1.6,2.3,19.6,15.4
29,Rudy Gobert\goberru01,UTA,13,13,35.4,6.2,9.6,.648,0.0,0.0,,3.7,6.0,.615,3.3,7.9,11.2,1.2,0.6,1.6,1.5,3.5,16.2,15.4
30,Mike Conley\conlemi01,UTA,11,11,32.5,6.0,13.2,.455,3.1,7.0,.442,3.7,4.0,.932,0.8,2.1,2.9,5.1,1.2,0.2,1.9,2.0,18.8,15.2
31,Paul George\georgpa01,LAC,19,19,35.6,7.4,17.3,.426,3.2,8.4,.384,3.9,4.5,.882,0.8,4.9,5.8,3.8,1.6,0.4,2.7,3.2,21.9,15.1
32,Tobias Harris\harrito02,PHI,11,11,34.0,7.5,17.0,.439,1.5,4.5,.327,3.2,4.0,.795,2.6,5.8,8.5,3.5,0.5,0.5,1.1,2.5,19.5,15.1
33,Derrick White\whitede01,SAS,7,7,29.8,5.7,12.6,.455,3.1,8.0,.393,4.3,5.1,.833,0.7,3.6,4.3,5.0,0.7,0.6,2.0,2.7,18.9,15.1
34,Jaylen Brown\brownja02,BOS,24,24,37.7,7.8,16.8,.462,2.7,7.4,.367,2.9,3.8,.778,1.3,5.9,7.2,2.0,1.5,0.5,2.1,2.7,21.1,14.9
35,Ja Morant\moranja01,MEM,8,8,37.8,6.8,17.1,.394,1.1,5.0,.225,4.4,5.4,.814,0.9,5.5,6.4,9.9,0.5,0.4,3.6,2.5,19.0,14.6
36,CJ McCollum\mccolcj01,POR,13,13,40.3,8.2,18.7,.436,2.5,6.8,.371,2.5,3.3,.744,0.8,4.8,5.5,4.5,1.1,0.4,2.0,2.6,21.3,14.5
37,Jusuf Nurkić\nurkiju01,POR,13,13,31.9,6.1,12.8,.476,0.4,1.6,.238,3.8,4.5,.845,2.8,7.5,10.3,3.8,1.4,1.3,2.5,4.6,16.3,14.4
38,Kyle Lowry\lowryky01,TOR,17,17,35.9,5.1,12.4,.414,2.0,6.2,.321,5.1,6.3,.813,0.6,6.1,6.6,5.8,1.8,0.7,3.1,3.6,17.4,14.3
