,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Player_Name,Twitter_handle
0,1,James Harden_hardeja01,HOU,19,19,36.3,9.4,18.7,0.5,3.5,10.1,0.35100000000000003,9.0,10.4,0.868,0.9,5.6,6.6,8.1,1.9,0.9,4.2,3.4,31.3,26.4,James Harden,hardeja01
1,2,Damian Lillard_lillada01,POR,12,12,39.7,9.9,20.9,0.474,4.8,11.2,0.425,8.6,9.4,0.912,0.3,3.7,4.0,7.8,1.1,0.2,3.3,1.7,33.2,26.2,Damian Lillard,lillada01
2,3,Luka Dončić_doncilu01,DAL,13,13,35.6,10.2,20.9,0.489,2.4,7.2,0.33,7.6,10.4,0.733,1.0,9.0,10.0,9.2,0.8,0.5,4.9,2.8,30.5,23.8,Luka Dončić,doncilu01
3,4,Kawhi Leonard_leonaka01,LAC,19,19,37.7,9.8,20.3,0.486,2.1,5.6,0.377,6.6,7.7,0.863,1.4,6.5,7.9,5.2,2.2,0.7,2.2,2.3,28.4,23.8,Kawhi Leonard,leonaka01
4,5,LeBron James_jamesle01,LAL,28,28,35.1,9.7,18.2,0.532,2.1,5.8,0.36200000000000004,4.8,6.7,0.7070000000000001,1.3,8.7,9.9,8.3,1.1,0.9,3.8,1.9,26.2,23.0,LeBron James,jamesle01
5,6,Devin Booker_bookede01,PHO,8,8,33.8,10.4,20.6,0.503,1.9,6.0,0.313,7.9,8.4,0.94,0.3,4.6,4.9,6.0,0.5,0.3,2.5,3.1,30.5,22.7,Devin Booker,bookede01
6,7,Anthony Davis_davisan02,LAL,28,28,36.1,8.9,16.5,0.5379999999999999,1.1,3.0,0.35700000000000004,7.4,8.8,0.838,2.6,6.8,9.4,3.6,1.3,1.4,2.6,2.6,26.2,22.6,Anthony Davis,davisan02
7,8,Giannis Antetokounmpo_antetgi01,MIL,15,15,28.8,10.1,17.3,0.585,1.3,4.1,0.306,5.6,9.3,0.6,2.5,10.7,13.1,5.1,0.5,1.1,3.4,3.5,27.1,22.5,Giannis Antetokounmpo,antetgi01
8,9,Kristaps Porziņģis_porzikr01,DAL,9,9,34.6,8.9,18.2,0.488,2.8,6.6,0.424,7.7,8.7,0.885,1.6,7.7,9.2,1.7,0.6,1.3,1.2,4.1,28.2,21.8,Kristaps Porziņģis,porzikr01
9,10,Donovan Mitchell_mitchdo01,UTA,13,13,35.6,9.6,20.3,0.473,3.8,8.4,0.45899999999999996,6.5,6.9,0.9329999999999999,1.2,3.7,4.8,4.9,0.8,0.3,3.5,2.2,29.5,21.0,Donovan Mitchell,mitchdo01
10,11,T.J. Warren_warretj01,IND,10,10,37.5,10.6,19.6,0.541,2.9,6.1,0.475,2.5,2.7,0.9259999999999999,1.2,5.1,6.3,2.4,1.7,0.8,1.8,3.3,26.6,20.2,T.J. Warren,warretj01
11,12,Jimmy Butler_butleji01,MIA,25,25,36.6,6.4,13.2,0.486,0.6,1.8,0.33299999999999996,7.8,9.0,0.858,2.2,4.4,6.5,5.8,2.1,0.7,2.7,1.8,21.2,20.1,Jimmy Butler,butleji01
12,13,De'Aaron Fox_foxde01,SAC,6,6,34.7,10.3,20.5,0.504,1.2,5.3,0.21899999999999997,4.3,6.0,0.722,0.8,1.7,2.5,7.3,1.7,0.3,2.8,2.7,26.2,19.5,De'Aaron Fox,foxde01
13,14,Jamal Murray_murraja01,DEN,23,23,37.1,9.1,18.1,0.502,3.0,6.8,0.439,3.3,3.7,0.872,1.0,3.8,4.8,6.3,0.9,0.3,2.4,2.0,24.4,19.3,Jamal Murray,murraja01
14,15,DeMar DeRozan_derozde01,SAS,7,7,32.2,7.7,13.3,0.581,0.1,0.7,0.2,6.1,7.1,0.86,0.7,3.7,4.4,5.7,1.1,0.9,2.4,2.3,21.7,19.1,DeMar DeRozan,derozde01
