PLAYER,PER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,VA,EWA
"Giannis Antetokounmpo, MIL",31.94,63,30.4,0.613,16.9,11,37.2,7.7,34.8,22.1,584.9,19.5
"James Harden, HOU",29.11,68,36.5,0.626,19.1,11.5,36.5,2.9,16,9.4,689.8,23
"Luka Doncic, DAL",27.65,61,33.6,0.585,23.4,11.3,38.3,4.1,25,14.7,523.8,17.5
"Anthony Davis, LAL",27.5,62,34.4,0.61,11.9,9.2,28.9,7.4,22.1,14.8,508.8,17
"Damian Lillard, POR",26.95,66,37.5,0.627,23,8.4,31.3,1.4,10.5,6,589.1,19.6
"Kawhi Leonard, LAC",26.91,57,32.4,0.589,16.1,8.6,33.2,3.1,19.1,11.3,452.7,15.1
"Karl-Anthony Towns, MIN",26.53,35,33.9,0.642,15.5,11.2,28.8,8.1,26.1,16.8,282.3,9.4
"Kyrie Irving, BKN",26.24,20,32.9,0.595,20,8.1,33.3,3.5,12.5,8.1,149.6,5
"Joel Embiid, PHI",25.82,51,29.5,0.59,11.7,12.2,32.4,10.3,33.2,21.7,342.1,11.4
"LeBron James, LAL",25.55,67,34.6,0.577,28.3,10.8,33.6,3.2,21.5,12.4,520.3,17.3
"Hassan Whiteside, POR",25.07,67,30,0.644,7.8,11.9,18.9,13.6,33.3,23.6,433.5,14.5
"Nikola Jokic, DEN",24.97,73,32,0.605,26.4,11.6,28.3,8,26.1,17.1,501.1,16.7
"Zion Williamson, NO",24.14,24,27.8,0.616,9.1,10.8,29.7,10.1,13.7,11.9,136,4.5
"Trae Young, ATL",23.95,60,35.3,0.595,23.9,12.3,36.2,1.6,11.5,6.5,409.8,13.7
"Jimmy Butler, MIA",23.61,58,33.8,0.585,23.9,8.7,25.7,6.3,15.4,11,383.2,12.8
"John Collins, ATL",23.59,41,33.2,0.659,7.4,9.3,21.9,9,24,16.4,246,8.2
"Mitchell Robinson, NY",23.51,61,23.1,0.726,7.5,7.7,13.1,13.7,18.8,16.2,272.1,9.1
"Montrezl Harrell, LAC",23.26,63,27.8,0.607,9.1,9.1,25.1,9.9,16.3,13.2,307.1,10.2
"Bradley Beal, WSH",23.22,57,36,0.579,17,9.5,34.5,2.7,10.5,6.4,389.9,13
"Christian Wood, DET",23.22,62,21.4,0.659,7.9,11.1,22.3,8.8,24.8,16.7,231.7,7.7
"Enes Kanter, BOS",22.48,58,16.9,0.599,11.1,11.1,19.1,18,28.9,23.5,174.3,5.8
"Jonas Valanciunas, MEM",22.32,70,26.4,0.631,12.1,11.7,21.1,12.4,32.2,22.5,322.7,10.8
