,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_Name,Twitter_handle
0,1,Steven Adams_adamsst01,C,26,OKC,63,63,1680,283,478,0.5920000000000001,1,3,0.33299999999999996,282,475,0.594,0.593,117,201,0.5820000000000001,207,376,583,146,51,67,94,122,684,Steven Adams,adamsst01
1,2,Bam Adebayo_adebaba01,PF,22,MIA,72,72,2417,440,790,0.557,2,14,0.14300000000000002,438,776,0.564,0.5579999999999999,264,382,0.691,176,559,735,368,82,93,204,182,1146,Bam Adebayo,adebaba01
2,3,LaMarcus Aldridge_aldrila01,C,34,SAS,53,53,1754,391,793,0.493,61,157,0.389,330,636,0.519,0.532,158,191,0.8270000000000001,103,289,392,129,36,87,74,128,1001,LaMarcus Aldridge,aldrila01
3,4,Kyle Alexander_alexaky01,PF,23,MIA,2,0,13,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,2,1,3,0,0,0,1,1,2,Kyle Alexander,alexaky01
4,5,Nickeil Alexander-Walker_alexani01,SG,21,NOP,47,1,591,98,266,0.368,46,133,0.34600000000000003,52,133,0.391,0.455,25,37,0.6759999999999999,9,75,84,89,17,8,54,57,267,Nickeil Alexander-Walker,alexani01
5,6,Grayson Allen_allengr01,SG,24,MEM,38,0,718,117,251,0.466,57,141,0.40399999999999997,60,110,0.545,0.58,39,45,0.867,8,77,85,52,10,2,33,53,330,Grayson Allen,allengr01
6,7,Jarrett Allen_allenja01,C,21,BRK,70,64,1852,302,465,0.649,0,6,0.0,302,459,0.6579999999999999,0.649,171,270,0.633,216,455,671,110,40,92,77,162,775,Jarrett Allen,allenja01
7,8,Kadeem Allen_allenka01,SG,27,NYK,10,0,117,19,44,0.43200000000000005,5,16,0.313,14,28,0.5,0.489,7,11,0.636,2,7,9,21,5,2,8,7,50,Kadeem Allen,allenka01
8,9,Al-Farouq Aminu_aminual01,PF,29,ORL,18,2,380,25,86,0.29100000000000004,9,36,0.25,16,50,0.32,0.34299999999999997,19,29,0.655,24,63,87,21,18,8,17,27,78,Al-Farouq Aminu,aminual01
9,10,Justin Anderson_anderju01,SF,26,BRK,10,1,107,10,38,0.263,6,29,0.207,4,9,0.444,0.342,2,4,0.5,1,20,21,8,0,6,4,13,28,Justin Anderson,anderju01
