Date,Visitor/Neutral,PTS,Home/Neutral,PTS,
Fri Jun 5 2015,Indiana Fever,72,Chicago Sky,95,Box Score
Fri Jun 5 2015,Washington Mystics,73,Connecticut Sun,68,Box Score
Fri Jun 5 2015,Tulsa Shock,75,Minnesota Lynx,83,Box Score
Fri Jun 5 2015,Atlanta Dream,73,New York Liberty,82,Box Score
Fri Jun 5 2015,San Antonio Silver Stars,71,Phoenix Mercury,76,Box Score
Sat Jun 6 2015,Minnesota Lynx,78,Indiana Fever,69,Box Score
Sat Jun 6 2015,Los Angeles Sparks,61,Seattle Storm,86,Box Score
Sat Jun 6 2015,Chicago Sky,93,Tulsa Shock,101,Box Score
Sat Jun 6 2015,New York Liberty,62,Washington Mystics,67,Box Score
Sun Jun 7 2015,Connecticut Sun,75,Atlanta Dream,70,Box Score
Tue Jun 9 2015,Indiana Fever,79,New York Liberty,86,Box Score
Tue Jun 9 2015,Seattle Storm,45,Tulsa Shock,68,Box Score
Thu Jun 11 2015,San Antonio Silver Stars,69,Atlanta Dream,72,Box Score
Thu Jun 11 2015,Chicago Sky,65,Connecticut Sun,67,Box Score
Thu Jun 11 2015,Seattle Storm,70,Minnesota Lynx,94,Box Score
Thu Jun 11 2015,Phoenix Mercury,57,New York Liberty,68,Box Score
Fri Jun 12 2015,Phoenix Mercury,74,Indiana Fever,77,Box Score
Fri Jun 12 2015,Atlanta Dream,64,Washington Mystics,61,Box Score
Sun Jun 14 2015,Atlanta Dream,64,Connecticut Sun,82,Box Score
Sun Jun 14 2015,Chicago Sky,98,Indiana Fever,72,Box Score
Sun Jun 14 2015,Seattle Storm,60,Los Angeles Sparks,54,Box Score
Sun Jun 14 2015,Washington Mystics,74,New York Liberty,59,Box Score
Sun Jun 14 2015,Minnesota Lynx,66,Phoenix Mercury,81,Box Score
Sun Jun 14 2015,Tulsa Shock,73,San Antonio Silver Stars,62,Box Score
Tue Jun 16 2015,Indiana Fever,90,Atlanta Dream,79,Box Score
Tue Jun 16 2015,Minnesota Lynx,67,Los Angeles Sparks,52,Box Score
Tue Jun 16 2015,Connecticut Sun,79,Seattle Storm,58,Box Score
Tue Jun 16 2015,San Antonio Silver Stars,61,Tulsa Shock,88,Box Score
Fri Jun 19 2015,Chicago Sky,73,Atlanta Dream,74,Box Score
Fri Jun 19 2015,Indiana Fever,80,New York Liberty,63,Box Score
Fri Jun 19 2015,Connecticut Sun,90,Phoenix Mercury,78,Box Score
Fri Jun 19 2015,Minnesota Lynx,74,San Antonio Silver Stars,59,Box Score
Fri Jun 19 2015,Tulsa Shock,86,Washington Mystics,82,Box Score
Sat Jun 20 2015,Washington Mystics,87,Indiana Fever,75,Box Score
Sat Jun 20 2015,Chicago Sky,95,San Antonio Silver Stars,87,Box Score
Sun Jun 21 2015,New York Liberty,73,Atlanta Dream,64,Box Score
Sun Jun 21 2015,Connecticut Sun,76,Los Angeles Sparks,68,Box Score
Sun Jun 21 2015,Tulsa Shock,86,Minnesota Lynx,78,Box Score
Sun Jun 21 2015,Phoenix Mercury,84,Seattle Storm,72,Box Score
Tue Jun 23 2015,Los Angeles Sparks,80,Washington Mystics,84,Box Score
Wed Jun 24 2015,Atlanta Dream,96,Chicago Sky,100,Box Score
Thu Jun 25 2015,Phoenix Mercury,71,San Antonio Silver Stars,76,Box Score
Thu Jun 25 2015,Minnesota Lynx,76,Seattle Storm,73,Box Score
Fri Jun 26 2015,Washington Mystics,69,Atlanta Dream,72,Box Score
Fri Jun 26 2015,Los Angeles Sparks,76,Connecticut Sun,80,Box Score
Fri Jun 26 2015,Chicago Sky,83,Indiana Fever,77,Box Score
Fri Jun 26 2015,New York Liberty,62,Tulsa Shock,71,Box Score
Sat Jun 27 2015,Phoenix Mercury,56,Minnesota Lynx,71,Box Score
Sat Jun 27 2015,Seattle Storm,71,San Antonio Silver Stars,73,Box Score
Sun Jun 28 2015,Los Angeles Sparks,70,New York Liberty,79,Box Score
Sun Jun 28 2015,Seattle Storm,89,Tulsa Shock,93,Box Score
Sun Jun 28 2015,Chicago Sky,71,Washington Mystics,86,Box Score
Tue Jun 30 2015,New York Liberty,89,Chicago Sky,81,Box Score
Tue Jun 30 2015,Indiana Fever,92,Connecticut Sun,84,Box Score
Tue Jun 30 2015,San Antonio Silver Stars,78,Phoenix Mercury,85,Box Score
Tue Jun 30 2015,Tulsa Shock,69,Seattle Storm,74,Box Score
Thu Jul 2 2015,Chicago Sky,77,Connecticut Sun,74,Box Score
Thu Jul 2 2015,Washington Mystics,50,Indiana Fever,73,Box Score
Thu Jul 2 2015,San Antonio Silver Stars,81,Los Angeles Sparks,86,Box Score
Thu Jul 2 2015,Tulsa Shock,55,Phoenix Mercury,86,Box Score
Fri Jul 3 2015,Tulsa Shock,95,Los Angeles Sparks,98,Box Score
Fri Jul 3 2015,Seattle Storm,57,Minnesota Lynx,82,Box Score
Sun Jul 5 2015,Seattle Storm,64,Atlanta Dream,72,Box Score
Sun Jul 5 2015,Phoenix Mercury,94,Los Angeles Sparks,91,Box Score
Tue Jul 7 2015,Tulsa Shock,85,Atlanta Dream,75,Box Score
Wed Jul 8 2015,Seattle Storm,65,Indiana Fever,88,Box Score
Wed Jul 8 2015,Los Angeles Sparks,63,San Antonio Silver Stars,70,Box Score
Thu Jul 9 2015,New York Liberty,79,Washington Mystics,76,Box Score
Fri Jul 10 2015,Minnesota Lynx,83,Chicago Sky,90,Box Score
Fri Jul 10 2015,San Antonio Silver Stars,76,Indiana Fever,83,Box Score
Fri Jul 10 2015,Phoenix Mercury,94,Seattle Storm,79,Box Score
Sat Jul 11 2015,Los Angeles Sparks,67,Tulsa Shock,82,Box Score
Sun Jul 12 2015,New York Liberty,76,Atlanta Dream,84,Box Score
Sun Jul 12 2015,Connecticut Sun,76,Chicago Sky,96,Box Score
Sun Jul 12 2015,San Antonio Silver Stars,49,Minnesota Lynx,66,Box Score
Sun Jul 12 2015,Seattle Storm,60,Phoenix Mercury,70,Box Score
Tue Jul 14 2015,Minnesota Lynx,85,Connecticut Sun,79,Box Score
Tue Jul 14 2015,Atlanta Dream,71,Phoenix Mercury,80,Box Score
Wed Jul 15 2015,Washington Mystics,57,Chicago Sky,85,Box Score
Wed Jul 15 2015,Tulsa Shock,80,Indiana Fever,83,Box Score
Wed Jul 15 2015,San Antonio Silver Stars,68,New York Liberty,84,Box Score
Wed Jul 15 2015,Los Angeles Sparks,61,Seattle Storm,68,Box Score
Thu Jul 16 2015,Atlanta Dream,76,Los Angeles Sparks,72,Box Score
Thu Jul 16 2015,Connecticut Sun,57,New York Liberty,64,Box Score
Fri Jul 17 2015,Chicago Sky,66,Minnesota Lynx,84,Box Score
Fri Jul 17 2015,Tulsa Shock,58,San Antonio Silver Stars,65,Box Score
Fri Jul 17 2015,Indiana Fever,50,Washington Mystics,68,Box Score
