,First_Name,Last_Name,player_id,Position,Points,Free_Throw_Percent,Two_Pt_Percent,Three_Pt_Percent,Assists,Rebounds,Offensive_Rebounds,Steals,Personal_Fouls,Flagrant_Fouls,Tech_Fouls,Turnovers,Team,Home_Away,win,Team_points,Min_played,Crowd,Stadium_Cap,game_id,game_date
0,DeAndre',Bembry,db42a3d8-e493-4f0e-aa9f-149397877fea,G-F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Hawks,1,1,140,00:00,16309,18118,eb868ce0-c2ac-4ab6-be4b-786fdd9bf81f,2020-02-09T23:00:00+00:00
1,Cam,Reddish,8f10f30f-cab7-43e1-be6b-736cd8700081,F-G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Hawks,1,1,140,00:00,16309,18118,eb868ce0-c2ac-4ab6-be4b-786fdd9bf81f,2020-02-09T23:00:00+00:00
2,Dewayne,Dedmon,b8a77045-a325-4ac1-ad9c-d065ec1f41a4,C,10,100.0,42.9,20.0,0,8,0,0,6,0,0,4,Hawks,1,1,140,32:41,16309,18118,eb868ce0-c2ac-4ab6-be4b-786fdd9bf81f,2020-02-09T23:00:00+00:00
3,Skal,Labissiere,a10131d5-a2b6-45a5-bde1-f6c4cdfd328a,F-C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Hawks,1,1,140,00:00,16309,18118,eb868ce0-c2ac-4ab6-be4b-786fdd9bf81f,2020-02-09T23:00:00+00:00
4,Vince,Carter,fa1c4130-38de-4ea1-b93a-4c3c962473e6,G-F,2,0.0,100.0,0.0,0,1,0,0,1,0,0,0,Hawks,1,1,140,2:32,16309,18118,eb868ce0-c2ac-4ab6-be4b-786fdd9bf81f,2020-02-09T23:00:00+00:00
5,De'Andre,Hunter,a4a75d83-54b5-4dca-913e-44ab04288446,F,19,66.7,50.0,42.9,1,9,1,5,4,0,0,0,Hawks,1,1,140,47:53,16309,18118,eb868ce0-c2ac-4ab6-be4b-786fdd9bf81f,2020-02-09T23:00:00+00:00
6,Bruno,Fernando,2ef47392-9f85-47e7-a844-b5d97cf412c9,F-C,2,0.0,50.0,0.0,0,4,2,0,4,0,0,1,Hawks,1,1,140,8:46,16309,18118,eb868ce0-c2ac-4ab6-be4b-786fdd9bf81f,2020-02-09T23:00:00+00:00
7,Charles,Brown Jr.,c64b2514-98dc-4cd9-a920-5b36abb7c252,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Hawks,1,1,140,00:00,16309,18118,eb868ce0-c2ac-4ab6-be4b-786fdd9bf81f,2020-02-09T23:00:00+00:00
8,Trae,Young,cf418e0c-de9d-438f-a1ac-3be539a56c42,G,48,100.0,41.2,46.2,13,1,0,2,1,0,0,7,Hawks,1,1,140,47:40,16309,18118,eb868ce0-c2ac-4ab6-be4b-786fdd9bf81f,2020-02-09T23:00:00+00:00
9,Jeff,Teague,9cf99a61-6b51-4aed-8940-0480dc512b36,G,8,0.0,50.0,0.0,6,3,0,1,1,0,0,0,Hawks,1,1,140,27:25,16309,18118,eb868ce0-c2ac-4ab6-be4b-786fdd9bf81f,2020-02-09T23:00:00+00:00
10,Clint,Capela,c37dafbb-a269-41f6-813f-bdb4da388203,C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Hawks,1,1,140,00:00,16309,18118,eb868ce0-c2ac-4ab6-be4b-786fdd9bf81f,2020-02-09T23:00:00+00:00
11,Treveon,Graham,3f170fb8-2633-481f-bc63-0bce20b37557,G-F,0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,Hawks,1,1,140,6:32,16309,18118,eb868ce0-c2ac-4ab6-be4b-786fdd9bf81f,2020-02-09T23:00:00+00:00
12,Kevin,Huerter,858d255e-9a7b-4c7a-aac4-fc7cf3a5f238,G,16,100.0,57.1,33.3,6,3,1,0,4,0,0,2,Hawks,1,1,140,47:38,16309,18118,eb868ce0-c2ac-4ab6-be4b-786fdd9bf81f,2020-02-09T23:00:00+00:00
13,Damian,Jones,44231f84-c69d-440d-9287-e210d4ce1672,C,0,0.0,0.0,0.0,0,4,1,0,1,0,0,0,Hawks,1,1,140,14:37,16309,18118,eb868ce0-c2ac-4ab6-be4b-786fdd9bf81f,2020-02-09T23:00:00+00:00
14,Brandon,Goodwin,ab6f22fc-0ad6-4323-a5fe-343e6f05e7e0,G,3,0.0,0.0,50.0,0,0,0,0,0,0,0,0,Hawks,1,1,140,4:23,16309,18118,eb868ce0-c2ac-4ab6-be4b-786fdd9bf81f,2020-02-09T23:00:00+00:00
15,John,Collins,28a2e698-9f33-4d4d-9a5d-9bea66ee42a1,F,32,77.8,68.8,33.3,3,16,5,0,2,0,0,0,Hawks,1,1,140,49:53,16309,18118,eb868ce0-c2ac-4ab6-be4b-786fdd9bf81f,2020-02-09T23:00:00+00:00
16,Bobby,Portis,68b7aac9-02fd-4bd8-b10c-6702d2c5eb98,F,14,100.0,42.9,50.0,2,6,2,0,1,0,0,1,Knicks,0,0,135,18:47,16309,18118,eb868ce0-c2ac-4ab6-be4b-786fdd9bf81f,2020-02-09T23:00:00+00:00
17,Kadeem,Allen,f352a999-007c-4092-9dcf-9b715c2b820a,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Knicks,0,0,135,00:00,16309,18118,eb868ce0-c2ac-4ab6-be4b-786fdd9bf81f,2020-02-09T23:00:00+00:00
18,Kevin,Knox II,239f0ff0-3d09-4991-bb67-ad8c8b7fd0cb,F,3,0.0,0.0,33.3,0,1,1,0,3,0,0,2,Knicks,0,0,135,12:55,16309,18118,eb868ce0-c2ac-4ab6-be4b-786fdd9bf81f,2020-02-09T23:00:00+00:00
