,First_Name,Last_Name,player_id,Position,Points,Free_Throw_Percent,Two_Pt_Percent,Three_Pt_Percent,Assists,Rebounds,Offensive_Rebounds,Steals,Personal_Fouls,Flagrant_Fouls,Tech_Fouls,Turnovers,Team,Home_Away,win,Team_points,Min_played,Crowd,Stadium_Cap,game_id,game_date
0,Torrey,Craig,c14eba17-879a-461e-9413-bf71a378de6e,G,11,0.0,50.0,60.0,0,4,2,0,6,0,0,1,Nuggets,1,1,135,21:25,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
1,Vlatko,Cancar,957e63a8-d87d-47d2-89cc-416afa292d80,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Nuggets,1,1,135,00:00,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
2,Mason,Plumlee,9570a938-324f-40e8-92dd-8a4fcf4a953b,F-C,2,0.0,100.0,0.0,2,6,1,1,3,0,0,1,Nuggets,1,1,135,10:50,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
3,Jerami,Grant,5b315e15-6633-4ce2-8200-71b821553314,F,19,87.5,50.0,40.0,3,0,0,1,2,0,0,0,Nuggets,1,1,135,39:56,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
4,Troy,Daniels,562677c1-2a13-4934-a801-a6c88c619e83,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Nuggets,1,1,135,00:00,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
5,Monte,Morris,48b05ddf-0a9f-4426-9394-231c54726eaa,G,14,0.0,66.7,66.7,4,3,0,1,1,0,0,1,Nuggets,1,1,135,29:19,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
6,Michael,Porter Jr.,3a7d6510-00e9-4265-81df-864a1f547269,F,13,0.0,33.3,42.9,1,8,1,0,3,0,0,1,Nuggets,1,1,135,31:11,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
7,Will,Barton,85e1279a-77c4-49a7-bfa0-7699e64b581f,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Nuggets,1,1,135,00:00,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
8,PJ,Dozier,ee06e9d2-98bf-487d-96a5-4954c25b75ef,G-F,3,0.0,0.0,50.0,1,2,0,1,1,0,0,0,Nuggets,1,1,135,20:18,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
9,Keita,Bates-Diop,af3416bc-38fb-46ca-9b03-72a88d7fda35,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Nuggets,1,1,135,00:00,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
10,Gary,Harris,6b5d0264-fa2d-4956-919b-61abfc6bb8d7,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Nuggets,1,1,135,00:00,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
11,Tyler,Cook,28b555ef-3b7d-46e9-b291-643a639086e7,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Nuggets,1,1,135,00:00,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
12,Nikola,Jokic,f2625432-3903-4f90-9b0b-2e4f63856bb0,C,29,100.0,50.0,57.1,3,10,1,2,2,0,0,4,Nuggets,1,1,135,42:10,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
13,Paul,Millsap,59f6f688-7000-4cf5-a27f-a1980dd86d93,F,8,50.0,28.6,33.3,0,3,1,3,0,0,0,0,Nuggets,1,1,135,29:28,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
14,Noah,Vonleh,84215e01-6108-4fd0-9a11-19e9518ab378,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Nuggets,1,1,135,00:00,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
15,Jamal,Murray,685576ef-ea6c-4ccf-affd-18916baf4e60,G,36,100.0,63.6,66.7,9,5,2,1,4,0,0,3,Nuggets,1,1,135,40:23,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
16,Bol,Bol,6395ff32-c9b6-4ad0-8f0f-dce474274725,C-F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Nuggets,1,1,135,00:00,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
17,Georges,Niang,fae899bc-3fc7-43d9-b2c9-35721d11e438,F,7,0.0,100.0,25.0,0,3,2,0,1,0,0,0,Jazz,0,0,125,19:45,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
18,Ed,Davis,9dbc15ee-deec-4c8c-86e9-71396ff80ef8,C-F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Jazz,0,0,125,00:00,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
19,Mike,Conley,460b7264-b98f-483e-b841-59a18c2e4d67,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Jazz,0,0,125,00:00,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
20,Juwan,Morgan,b2a52646-bbd0-4dc0-82c0-8145d4b00b22,F,3,0.0,0.0,25.0,1,7,2,1,0,0,0,1,Jazz,0,0,125,25:18,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
21,Tony,Bradley,6130d33e-5725-4f5d-8f81-76ecd691a5b2,C-F,0,0.0,0.0,0.0,0,9,4,0,1,0,0,2,Jazz,0,0,125,10:50,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
22,Emmanuel,Mudiay,8f7caaba-426f-4bee-be51-9625718d51f3,G,1,50.0,0.0,0.0,0,1,1,0,0,0,0,0,Jazz,0,0,125,9:46,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
23,Nigel,Williams-Goss,275f6aed-de63-4bd5-86b2-865113b12053,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Jazz,0,0,125,00:00,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
24,Royce,O'Neale,32526c95-bc6e-4d28-a751-c4200904d80b,F,3,0.0,0.0,33.3,0,7,0,1,5,0,0,1,Jazz,0,0,125,31:47,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
25,Rayjon,Tucker,847ab791-26a2-439e-9c66-0c4a77a93b82,G-F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Jazz,0,0,125,00:00,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
26,Rudy,Gobert,37fbc3a5-0d10-4e22-803b-baa2ea0cdb12,C,17,16.7,72.7,0.0,1,7,4,2,5,0,0,1,Jazz,0,0,125,42:10,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
27,Joe,Ingles,5b297372-b2af-445e-a4bc-777982dbc1e3,G,19,100.0,50.0,41.7,6,5,0,1,3,0,0,3,Jazz,0,0,125,43:02,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
28,Miye,Oni,eec2714c-72a5-48c8-bc10-d628e2a583f7,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Jazz,0,0,125,00:00,Covid,1200,6541eb3b-eb31-4f6f-a662-94e9d2640c99,2020-08-17T17:30:00+00:00
